待ちに待った最終回。どうなるんやら…,等了又等的最终回。会变成怎么样呢…
小学生でこの結論に気づいてる東くんは間違いなく賢い　ループしてなくてこれはすごい,小学生就能注意到这个结论的东君毫无疑问很聪明，没有loop能做到这点很厉害
たこ焼き...,章鱼烧...
「このタコ」の言い方優しくなってて泣いたっピ,「你这章鱼」的说法变温柔了，看哭了pi
言われてるぞトランプ,在说你哦Trump
しかしねぇ…その周りのゴミ屑親共は大して良い所は無いのだから…,但是呢…周围那些垃圾父母们也没什么优点…
このタコ(n回目),你这章鱼(n回目)
大人でも善悪の二分に陥ってしまう,大人也会陷入善恶二分法
酢だこ...,醋章鱼...
すぐに「1番悪いやつ」を探そうとするのが俺らの原罪,立刻就想找「最坏的家伙」是我们的原罪
このタコw,你这章鱼w
強なったなぁ,变强了啊
悪いとこしかない,只有坏处
この言葉があるにも関わらず理解していない視聴者・読者の多さが一番この作品の残念なところ,明明有这句话却不理解的观众・读者之多是这部作品最遗憾的地方
disがマイルド,dis变温和了
ハッピー星には無いんだよね,Happy星上没有呢
この年齢で「いいとこも悪いとこもある」って気付けてるのすごいと思うよ,这个年龄就能注意到「既有优点也有缺点」我觉得很厉害哦
タコォ,章鱼—
タコピーにもいい所と悪い所あるだろ,小章鱼也有优点和缺点吧
東くん小学生なのにこんなに理解しているのが凄い,东君明明是小学生却这么理解，好厉害
小学生人間出来てるな,小学生做人很成熟啊
そのうえでどう付き合いどう変わっていくかよね,在此之上要如何交往如何改变呢
口わっる,嘴好毒
これ理解ってない奴が今の世の中に増えちゃったからな…。（極端な思考を持つ人が増えてる,不理解这个的人在当今世上变多了呢…。（持有极端思想的人变多了
ハッピー星人にはわからないか,Happy星人不懂吗
タコメンチ！,章鱼肉饼！
タコピーは嘘は言うてないんや。,小章鱼没说谎哦。
世界的作品になった,变成了世界级作品
このハゲー！,你这秃子—！
東最高,东最棒
そういうことじゃないんだよ,不是那么回事啊
タコォ！,章鱼—！
まりなちゃんのママに良いところはありましたか……？,真理奈酱的妈妈有什么优点吗……？
TACO（Trump Always Chickens Out）,TACO (Trump Always Chickens Out)
タコがよ,你这章鱼
この考えに行ける小学生凄い,能有这种想法的小学生好厉害
ここのへなっとした「バカじゃん」すき,喜欢这里软趴趴的「是笨蛋嘛」
ハッピー星人は善悪の概念無いんだろうな,Happy星人没有善恶的概念吧
「だって」ね。見下しというか失望というかから脱して対等になったな,「因为」呢。从鄙视或者说失望中脱离，变得对等了呢
しんのすけ,新之助
悲しいっピ,悲伤pi
親連中も多分そうなんだろうな,父母那帮人大概也是吧
お兄ちゃんの光でいろんなのふっきれたんだな,因为哥哥的光，很多事都想开了呢
ここのタコ優しくて好き,这里的章鱼很温柔喜欢
このお前ってのは自分のことな,这里的“你”是指自己
善悪二元論でのみ考えてすぐはい論破は年を追うごとに蔓延していて怖い,只用善恶二元论思考，动不动就“好的我赢了”的风气年年蔓延很可怕
毒親になってしまった人たちにも本当はいいところがあったんだよってことでもある,也意味着变成了毒亲的人们其实也有优点
全二巻の漫画持ち上げすぎじゃない？,全两卷的漫画是不是捧太高了？
まあ相変わらず悪人探ししてる奴もいるし分からない奴には分からないよ,嘛，反正还是有在找坏人的人，不懂的人就是不懂
みんな当たり強すぎるのよ,大家攻击性都太强了
🐙「ぼくは🐴でも🦌でもないっピ！？」,🐙「我既不是🐴也不是🦌pi！？」
いやそれは解決ではない「誰でも悪いところはある」は人格障害者が隠れ蓑にする言葉だ,不，那不是解决方法，「谁都有缺点」是人格障碍者用来当挡箭牌的话
タコピー可愛いぴっ,小章鱼可爱pi
結局餌付けしとけばいいのかこのタコ,结果只要投喂就行了吗这章鱼
東成長してんな,东成长了啊
毒親も全部悪いってのはない　いいところももちろん悪いところもある,毒亲也不是全都不好，当然既有优点也有缺点
たこ焼きにしてやろうか,把你做成章鱼烧好吗
打ち切りになった訳じゃなく元から全2巻の尺だったんだが？,不是被腰斩，是本来就是全2卷的长度吧？
当時は全2巻でこの物語を描き切ったことに感動したよ,当时对全2卷画完了这个故事很感动哦
今のお前は自分に対してです,现在的“你”是指对自己
タコ(事実),章鱼(事实)
善悪二元論は世界を滅ぼす,善恶二元论会毁灭世界
おれらはタコだったのか（あたり）,我们是章鱼吗（猜中）
原作は16話しかない,原作只有16话
しずかちゃんのマイナス面も見える程視野が広がっている,视野开阔到能看见静香酱的负面了
↑ちがいます,↑不是的
直樹くん…(´；ω；｀),直树君…(´；ω；｀)
まあ仕方ない,嘛，没办法
単行本は1巻2巻じゃなくて上巻下巻,单行本不是1卷2卷是上卷下卷
高校時点で東君としずかちゃんの偏差値40くらい差あるんだっけ,高中时东君和静香酱的偏差值是不是差了40左右
この作品の悪は限度を超えてるだろ・・・,这部作品的恶已经超过限度了吧・・・
ストレートすぎる,太直接了
東くん好き,喜欢东君
純粋な悪なんて現実には存在しないもんな,纯粹的恶在现实中是不存在的嘛
臭いし,又臭
たぶん、しずかちゃんはバカ。頭はそんなに良くない,大概，静香酱是笨蛋。脑子不太好
１話掲載時から「短期集中連載」ってあったよ,从第1话刊登时就写着「短期集中连载」哦
もっと悪いとこあるだろ,还有更坏的地方吧
二元論はともかく罪は罪で議論されなければ被害者（後の加害者カモ）が生まれてしまう,二元论暂且不论，罪就是罪，不讨论的话就会产生受害者（也可能是未来的加害者）
家庭環境も学校でもあれじゃ勉強も出来ないし,家庭环境和学校都那样，也学不了习
東キュン,东kyun
はい天才,好的天才
2巻で詰め込める内容と落としどころじゃねんだわ普通は,一般不是2卷就能塞进的内容和结局
そもそも宿題やれるメンタルじゃないから・・・,说到底就不是能做作业的精神状态・・・
あずまキュン,东kyun
泉くん真面目だから「宿題やらない奴」ってクソ嫌いだろうなぁ,泉君很认真，肯定超讨厌「不做作业的家伙」吧
そもそも善悪に正解はないしな多数派かどうかってだけで,说到底善恶没有正确答案，只是看是不是多数派而已
しかし一ノ瀬をこのアニメスタッフでアニメ化しても厳しいだろうな,不过《一之濑家》就算由这个动画staff来动画化也够呛吧
女乗り換えるし…,还换女人…
たっっっっっrこ,章————鱼
宿題やらないんだ,不做作业啊
一ノ瀬の話はするな(戒め),别提一之濑家的事(告诫)
タイザン短期連載は光るんだけど長期はグダる,TAIZAN短期连载很亮眼，但长期就很拖沓
人間には善と悪どっちもある表に見える部分でしかわからないだけで,人既有善也有恶，只是只能看到表面的部分而已
汚いし,又脏
クズしずか,渣静香
一ノ瀬はアンケに振り回されちゃった感がなぁ,一之濑家有种被读者调查问卷左右了的感觉
このtaco,你这taco
人間何面でも顔があるぞ！,人有多少面孔都可以哦！
僕が一番…,我才是最…
タコピーかわえ,小章鱼好可爱
裏表があってだな,是有表里两面的
あの短期間でだいぶ視野広がったんだな東くん…将来有望だぞ…,在那么短的时间里视野开阔了这么多啊东君…未来可期哦…
君は自分をよく知ってる,你很了解自己
一ノ瀬家とかいうサム8並のジャンプの汚点,《一之濑家》这种和《武士8》并列的Jump污点
ケアレスミスするしな,还会粗心犯错
分かったつもりの人類よりは分からないとハッキリ言えるタコピーの方がワイは好きだよｗ,比起自以为懂了的人类，我更喜欢能清楚说出不懂的小章鱼哦w
そ　れ　で　も　！　ユニコーン！,即 使 如 此 ！ Unicorn！
しずかはわるくない,静香没错
悪い子なのに肌がきれいで涼しげな目元に本能が欲情する,明明是坏孩子，但干净的皮肤和清爽的眼角让本能欲火焚身
僕は一ノ瀬家も好きです(小声),我也喜欢一之濑家(小声)
そりゃ異星人だもん人間の心なんざ分かるわけえね,那当然了是外星人嘛，怎么可能懂人心
ユニコオォォォォォン,Unicoooorn
流れ星涙綺麗すぎ飲ませろ,流星眼泪太美了快让我喝
タコw,章鱼w
ごくごくごくごくごくごく,咕嘟咕嘟咕嘟咕嘟咕嘟咕嘟
子供の成長は早いんだっピ,孩子的成长很快的pi
宿題ww,作业ww
それでもと言い続けろ,继续说“即使如此”
暗くなるな,别阴沉
守りたい世界があるんだー,有想要守护的世界—
何故か目からH2Oが…,不知为何眼睛里流出了H2O…
ユニコーン?,Unicorn?
しずかちゃん宿題できる環境でもないから,静香酱也不是能做作业的环境
東・・・,东・・・
それでも！と言い続けろ,继续说“即使如此！”
ケアレスミスは母親の期待に応えようとするプレッシャーからだろしゃーない,粗心犯错是因为想回应母亲期待的压力吧没办法
ごくごくごくごくごくごく,咕嘟咕嘟咕嘟咕嘟咕嘟咕嘟
4の星か,是4的星星吗
守りたい世界が,想要守护的世界
目からじゅんやが！？,眼睛里流出润也了！？
遊ぶ(殺人隠し),玩耍(隐藏杀人)
※ショタコン大量発生注意,※正太控大量发生注意
東くん目からキラキラ出せるのすごいな,东君眼睛里能放出闪闪发光的东西好厉害啊
これ尺的に劇場版のつもりで作ったのか？,这个从时长来看是打算做成剧场版的吗？
それでも！ユニコオオオオオオオン！,即使如此！Unicoooooorn！
※それはまりピです,※那是真理pi
※それはまりピです,※那是真理pi
なーかーしーたー,弄—哭—了—
まりピ,真理pi
タコピーを人扱いしてるのなんか嬉しい,把小章鱼当人对待感觉好开心
楽しかった,很开心
それタコピーやで？,那是小章鱼哦？
あらかわいいわね〜,哎呀真可爱呢～
目から流れ星,眼睛里流出流星
タコピーも入れて三人にカウントするの好き,把小章鱼也算进去数成三个人这点很喜欢
まりピーだったけどね！,虽然是真理pi！
良いとこも悪いとこもある、それが当然なんだ,既有优点也有缺点，那是当然的
それでも、と言い続けるんだ。,要继续说，即使如此。
遊ぶ(犯罪),玩耍(犯罪)
聞けてよかった……,能听到太好了……
かわいい…,可爱…
癒えたじゃねぇか,不是治愈了吗
光が漲る･･･溢れる･･･,光芒高涨･･･满溢而出･･･
涙綺麗,眼泪好美
東の涙,东的眼泪
キラッキラ,闪闪发光
3人って、、、？誰と誰と誰？？なんの話してるの？,3个人、、、？谁和谁和谁？？在说什么啊？
コレが東くんにとって一番必要だったんだよなぁ,这个对东君来说才是最必要的啊
お兄ちゃんのキラキラ感染してて草,被哥哥的闪闪发光感染了草
東きゅんの指をチュッパチュッパ！,东kyun的手指chupachupa！
友達作る余裕もなかったしな,也没交朋友的余力
生まれて初めて、か、それまで楽しめなかった境遇を思うと辛い,出生以来第一次吗，想到至今为止都无法享受的境遇就好难受
飲みたい,想喝
なおき、、、,直树、、、
同級生の死体遺棄という異常な状況でも生まれて初めて楽しかったという東くんの人生,在藏匿同学尸体这种异常状况下，却是出生以来第一次感到开心的东君的人生
2人と１匹だろ,是2人和1只吧
なお宿題は捨てられてたもよう,另外作业好像被扔掉了
目から流れ星が,眼睛里流出流星了
努力が報われていく自己肯定感が一番欲しかったものなんだろうな東君,努力得到回报的自我肯定感才是最想要的东西吧东君
君の目は✨️,你的眼睛是✨️
完璧で究極のアズマ,完美又究极的东
あずまくん可愛いね結婚して♡,东君好可爱，结婚吧♡
星野アズママリン,星野东Marine
東君幸薄すぎてかわいそう,东君太命苦了，好可怜
三人で遊んでただろ　今まで見てなかったのか？,不是三个人在玩吗，至今为止都没看吗？
相殺できてない,没能抵消
なおき！！！！！！,直树！！！！！！
ここ推しの子,这里是我推的孩子
アクアの目,阿库亚的眼睛
良かったねぇ,太好了呢
チャームされてただけでは…？,只是被魅惑（charm）了吧…？
違うよ。そもそも努力のいらない無条件の肯定がまず必要だったんだ,不对哦。说到底首先需要的是不需要努力的无条件的肯定
涙がダイアモンドみたい,眼泪像钻石一样
救われた者の輝き,被拯救之人的光辉
受け継がれる目の星,被继承的眼中的星星
友達だもんげ！,是朋友monge！
だった,曾是
【推しの子】やんけ！,是我推的孩子嘛！
＋ ＋,＋ ＋
アーモンドアイちゃん,杏眼酱
覚醒東くんほんま泣ける…,觉醒东君真的看哭了…
小舟潮よろしく目覚めたか！(中の人繋がり),像小舟潮一样觉醒了吗！(声优梗)
先週は目を❤︎にしてたのに,上周眼睛还是❤︎的
【タコピーの原罪】,【小章鱼的原罪】
キラキラ東,闪闪发光东
+ +,+ +
潤也の遺伝子,润也的遗传基因
アズマリン,东Marine
お兄ちゃんからもらった光,从哥哥那里得到的光
すか,吗
言えたじゃねえか...,说出口了嘛...
この作品成績悪いか要領悪いかだよな,这部作品不是成绩不好就是脑子不好呢
おま、星野家か,你，是星野家的吗
かわいい悲しい,可爱又悲伤
いいとこも悪いとこもあるさ,既有优点也有缺点
推しの子だろ,是我推的孩子吧
綺羅星★,绮罗星★
PIRIも裏で陰口してるから,PIRI也在背后说坏话
タコの子,章鱼的孩子
闇は解放済みだったか,黑暗已经解放了吗
兄に洗脳されてそうなシイタケアイ,像是被哥哥洗脑了的香菇眼
能天気で,傻呵呵地
星の子難民息してる？,星之子难民还活着吗？
お兄ちゃんに浄化された東くん見れて俺嬉しいよ,能看到被哥哥净化了的东君我好开心啊
光東,光东
星野東マリン？,星野东Marine？
生まれて初めて,出生以来第一次
推しの子？,我推的孩子？
バカで,笨蛋
バカで,笨蛋
ともだちイイイイイイイイイイイ,朋友啊啊啊啊啊啊啊啊啊啊啊
BAKADEGOMI,笨蛋垃圾
真っ直ぐな言葉泣ける,直白的话语看哭了
やっぱ人ごとに星の色あるよな,果然每个人的星星颜色都不同呢
悪意だけでなく、優しい気持ちもまた連鎖していくんだ,不仅是恶意，温柔的心情也会连锁下去的
覚醒シーン,觉醒场景
ゴミだけど,虽然是垃圾
推しの子！？,我推的孩子！？
某アクアかな？,是某阿库亚吗？
ひどいっぴ,好过分pi
(˙³˙)(そんなに言わんくてええやろ…),(˙³˙)(不说那么过分也可以吧…)
こんな目してたら包丁で刺されちゃうぞ,长着这样的眼睛会被菜刀捅的哦
お兄ちゃんパワー,哥哥power
推しの子すぎる,太我推的孩子了
阪神算やめーやw,别用阪神算啊w
HDRだと凄いな・・・,HDR的话好厉害啊・・・
覚醒！？の割に口が悪い…,觉醒了！？嘴却很毒…
推しの子やん,是我推的孩子嘛
これが押しの子三期ですか,这是我推的孩子第三季吗
これが押しの子三期ですか,这是我推的孩子第三季吗
言い過ぎだッピ…,说太过分了pi…
バチくそ陽キャな兄持ってるだけあるわ。,不愧是有个超阳角哥哥的人。
輝いている,在发光
おめめキラーン,眼睛kirarin
目に希望の光が...美しい  (可愛い!),眼中希望的光芒...好美 (好可爱!)
な阪関無,那阪关无
キレイ,好美
＞＞能天気でバカでゴミ＜＜,＞＞傻呵呵的笨蛋垃圾＜＜
ゴミはちょっと言い過ぎかなー,垃圾是不是有点说过了—
タコピーと仲良くして受験チートになるんだよ,和小章鱼搞好关系，在考试中开挂哦
ゴミ！？ｗ,垃圾！？w
指をチュパチュパ,手指chupachupa
星野アクアマリンの生まれ変わり,星野阿库亚马琳的转世
優しいのは最高に良いことダヨね,温柔是最好的事哦
ククク...ひどい言われようだっピ　まあ事実だからしょうがないっピけど,库库库…被说得好过分pi 不过是事实也没办法pi
流星群きたこれ,流星群来了
言い過ぎ,说太过分了
めっちゃ悪口言ってるぞｗ,在疯狂说坏话哦w
本当にいい奴だよあずまくん…,真是个好家伙啊东君…
🐙＝能天気でバカでゴミだけど優しい,🐙＝傻呵呵的笨蛋垃圾但很温柔
ホメる前に貶す言葉が多い,夸之前贬的话更多
ボロクソいいすぎやろWWWWWWW,说得太一文不值了吧WWWWWWW
言いすぎだろ,说太过分了吧
ゴミw,垃圾w
可愛い好きだよ東くん,可爱喜欢哦东君
辛辣ゥ！,辛辣！
兄から光をもらったな,从哥哥那里得到了光呢
潤也の光が継承されてる,润也的光被继承了
本当に関係ないだろ,真的没关系吧
ゴミはちょっとライン越えじゃない？,垃圾是不是有点过线了？
推しの子草,我推的孩子草
兄の遺伝子,哥哥的遗传基因
ゴミｗｗｗ,垃圾www
一個しか褒めてなくて草,只夸了一句草
(言い過ぎじゃないっピか…？),(是不是说太过分了pi…？)
先週のデレデレのクズとはまるで別人,和上周娇滴滴的人渣判若两人
ゴミまで言わなくても･･･,不说垃圾也可以吧･･･
528-64,528-64
綺羅星,绮罗星
おいWWWWWWWWWWWWWW,喂WWWWWWWWWWWWWW
君は馬鹿でゴミ,你是笨蛋垃圾
なんで覚醒してんの,为什么觉醒了
ゴミはいいすぎだッピ！,垃圾太过分了pi！
バカでゴミって,又笨又垃圾
ゴミだぁ,是垃圾啊
メフィスト流せメフィスト,快放Mephisto啊Mephisto
子供頃は純粋だね大人ちがって,小时候真纯粹啊和大人不一样
究極の東くん,究极的东君
言い過ぎで草,说太过分了草
タコピーの前だけど本音を言える今のこいつはカッコええでｗ,虽然在小章鱼面前，但现在能说出真心话的这家伙很帅哦w
褒めてねえええwww,没在夸啊啊啊www
1056-128,1056-128
ゴミは言い過ぎぃ！w,垃圾太过分了！w
ゴミなんだ･･･,是垃圾啊･･･
お兄ちゃんカウンセリング受けた東くんは強い,接受了哥哥心理咨询的东君很强
gm笑う,垃圾笑了
覚醒なおき,觉醒直树
「やさしい」と言っておけばあとは何言っても許される風潮,只要说了「温柔」，之后说什么都会被原谅的风潮
ドクダミ生えるわ,要长鱼腥草了
タコピー「そこまで言わなくてもよくないっピ…？」,小章鱼「不说那么过分也可以吧pi…？」
「友達」という一つの答えがようやくここで出た,「朋友」这个答案终于在这里出现了
特に理由のない罵倒がタコピーを襲う…！,毫无理由的谩骂袭击了小章鱼…！
ゴミ草,垃圾草
ゴミ！？,垃圾！？
バカでゴミだけどｗ,虽然是笨蛋垃圾w
ゴミは草,垃圾草
使えないどうしようもない能無しで,没用无可救药的无能者
推しの子やないかい！！,这不是我推的孩子嘛！！
2112-256,2112-256
阪神数増えるなwwwwww,阪神数别增加了wwwwww
辛辣で草,辛辣得草
言いすぎだろw,说太过分了吧w
口悪すぎる,嘴太毒了
🐙「流石にそこまで言われると泣きそうっピ」,🐙「被说到这个份上要哭了pi」
ここ自分のこと貶してんのか,这里是在贬低自己吗
👦役立たずの「僕」,👦没用的「我」
ちくちく言葉やめてね,别说扎心的话哦
(言い過ぎじゃね…？),(是不是说太过分了…？)
潤也の光,润也的光
兄の聖人のかけらだけ持ってるな,只拥有哥哥的圣人碎片呢
ゴミｗｗｗ,垃圾www
言いすぎやろ！！,说太过分了吧！！
黄金の意志,黄金的意志
な阪関カウンターやめいw,别用那阪关反击了w
辛辣で草ｗｗｗｗｗ,辛辣得草wwwww
やそうさ,是呢
ひど,过分
めっちゃ言いますやん…,说得好狠啊…
言い過ぎで草,说太过分了草
(˙³˙)(すんごいこと言われてるッピ…),(˙³˙)(被说了很过分的话pi…)
悪口言い放題やんwww,坏话随便说嘛www
聞いてるか母,听到了吗妈妈
役立たずの僕,没用的我
ねえひどいWWWWWWW,呐好过分WWWWWWW
MVPは東君のお兄ちゃんてことでよろしいか？,MVP是东君的哥哥可以吗？
優しいだけかい,只是温柔吗
ケツイこぼれてんぞ,决心漏出来了哦
ボロクソで草,一文不值草
ボロックソ言われてんぞ,被说得一文不值哦
推しの子？,我推的孩子？
褒めに対して貶しが多いっぴ！,相对于夸奖，贬低更多pi！
タコピーの悪口かと思ったら直樹くんのことっていう,还以为是小章鱼的坏话，结果是说直树君
あんだけディスってたくせに言い過ぎは草,明明那么dis了，现在说“说太过分了”草
ほぼ悪口で草,基本是坏话草
８割悪口っピね,8成是坏话pi呢
ゴミwww,垃圾www
タコピーの愚かな素直さが東くんの心を少し救ったんだな,小章鱼愚蠢的坦率稍微拯救了东君的心呢
やっぱ周りがきつい奴自尊心えぐいほど低いよな、,果然周围都是严厉的人的话自尊心会低得可怕呢，
あってる,没错
ククク…酷い言われようだっピ…　まぁ事実だからしょうがないっピけど,库库库…被说得好过分pi… 嘛因为是事实也没办法pi
ちょと言い過ぎちゃう？,是不是有点说过了？
全方位悪口　自分は死ぬ,全方位坏话 自己会死
写輪眼？,写轮眼？
たまってんなぁおい,积了不少啊喂
🐙「」,🐙「」
ひでえｗ,好过分w
役たたずとは？,没用是指？
そこまで言う？,说到那份上？
後半は自分の事だろ,后半段是说自己吧
ああ〜ショタコンになるんじゃ〜,啊啊～要变成正太控了～
タコボロクソ言われてて草,章鱼被骂得一文不值草
33-4の倍数好き,喜欢33-4的倍数
（東くん、作品が違うッピ）,（东君，作品搞错了pi）
言い過ぎ,说太过分了
友達をゴミ呼ばわりやめて,别骂朋友是垃圾
タコピー涙目w,小章鱼泪眼汪汪w
334厨は駆除だっぴ,334厨该被驱除了pi
光が灯ってる,光芒点亮了
後半は自分の事やぞ,后半段是说他自己哦
ボロクソ言ってるけど褒めてはいる,虽然骂得很惨但还是在夸奖
妓夫太郎かお前,你是妓夫太郎吗
「馬鹿だから本心だ」好き　タコピーの愚直さゆえに東君の心に響いた,喜欢「因为是笨蛋所以是真心话」，正因为小章鱼的愚直才打动了东君的心
よかったっぴ,太好了pi
チクチク言葉,扎心的话
ククク…ひどい言われようだな,库库库…被说得好过分啊
自己評価低いなあ,自我评价好低啊
感動シーンや,是感动场景啊
褒めてるのか貶してるのかどっちなんだい！,到底是在夸还是在贬啊！
ゴミは草,垃圾草
「友達」やっと出てきたんだ、この作品で,「朋友」终于出现了，在这部作品里
わかるってばよ,我懂的我说（dattebayo）
あまりにも自己評価が低い,自我评价也太低了
これは光の東くん・・・,这是光的东君・・・
ボロクソやないか,一文不值嘛
「使えないどうしようもない役立たず」は自虐だろ,「没用无可救药的窝囊废」是自虐吧
ボロカス言われてる気がするっピ,感觉被骂得一文不值pi
そんな言う？,说那么过分？
辛辣で草,辛辣得草
フルボッコ,猛烈攻击
✨✨,✨✨
相手の良い所も悪い所も全部受け入れる事を人は愛と言うんだよｗ　上っ面の言葉ではなく,把对方的优点和缺点全部接受，这人们才称之为爱哦w 不是表面的话语
ぼろくそ,一文不值
バカだから本心の言葉で接してくれたタコピーと賢かったが利用価値しか見てなかった母親の対比かぁ,笨蛋所以用真心话对待的小章鱼和虽然聪明但只看利用价值的母亲的对比吗
馬鹿だから本心…,因为是笨蛋所以是真心话…
ポリゴンショック,多边兽冲击
阪神算クソワロタ,阪神算笑死
これは圧倒的光,这是压倒性的光
『完璧じゃない僕』を自分で認めるの苦しかったろうに…東くん…,自己承认『不完美的我』想必很痛苦吧…东君…
褒めてる…？,在夸奖…？
超小学生級の希望,超小学生级的希望
自己肯定感低かった東くんにとって救済だった,对自我肯定感很低的东君来说是救赎
マチュ見てるか？これが本当のキラキラだぞ,马丘在看吗？这才是真正的闪闪发光哦
ここの光の演出か潤也と似てる、やっぱり兄弟なんだな,这里的光的演出和润也很像，果然是兄弟啊
嘘をつけないくらいのバカって素敵だね,笨到不会说谎，真好呢
兄により覚醒した東家の力,因哥哥而觉醒的东家的力量
※殺人犯です,※是杀人犯
自己評価低い,自我评价很低
イ……イキスギィ…,要……要去了…
兄のキラキラを受け継いだな,继承了哥哥的闪闪发光呢
浜村純です！,我是滨村纯！
プラスマイナスでマイナスだな,正负相抵还是负数啊
酷いボロっカス,过分的一文不值
希望の光の範囲が広がった！？,希望之光的范围扩大了！？
潤也受け継いでるやん,继承了润也嘛
領域展開？,领域展开？
バカだから本心って確かに,因为是笨蛋所以是真心话，确实
転生して救ってっぴ,转生去拯救pi
マチュは初期から素直な良い子？だぜｗ,马丘从一开始就是坦率的好孩子？哦w
言い過ぎやろ・・・,说太过分了吧・・・
ゼクノヴァ起きてんぞ,Zeknova醒了哦
ｷﾗｷﾗﾀﾞｧ･･･,闪闪发光啊･･･
推しの子が始まりました,我推的孩子开始了
聖東くん,圣东君
🐜🐜🐜🐜🐜🐜🐜🐜🐜🐜,🐜🐜🐜🐜🐜🐜🐜🐜🐜🐜
家族の1人が殺人(殺してない)しただけで兄ちゃんがバイトクビになるのはおかしいだろ母は毒親だからクビになってもおかしくないけど,家人里有一个人杀人(没杀)哥哥的打工就被辞退了也太奇怪了吧，妈妈是毒亲所以被辞退了也不奇怪
ハッピー力が溜まっていくッピ,Happy力在积蓄pi
ワンフォーオールの継承者,One For All的继承者
東くんやっぱりこの作品で1番いい小学生だ,东君果然是这部作品里最好的小学生
感謝は忘れずに生きていきたいね,想要带着感谢活下去呢
お兄ちゃんのキラキラが,哥哥的闪闪发光
これは潤也の弟ですわ,这是润也的弟弟啊
目のキラキラは東家の宿命…？,眼中的闪闪发光是东家的宿命…？
礼は大事,礼貌很重要
光が伝播した...！,光传播了...!
こいつらには友達が足りなかった,这些家伙就是缺了朋友
良いぞーーこれ,好啊——这个
表現……すこ,表现……喜欢
ゼクノヴァで地球が消滅するっぴ！,用Zeknova地球就要消灭了pi！
凶器↑,凶器↑
凶器↓,凶器↓
潤也くんの光が直樹くんへ,润也君的光传给了直树君
やっぱ兄弟なんだな,果然是兄弟啊
自首はしたが物証は出さなかったか,虽然自首了但没交出物证吗
東君の目に光が灯った,东君的眼中点亮了光芒
相手を傷つけても素直である事が本音を言える関係こそが本物ってやつや,就算伤害对方，能坦率说出真心话的关系才是真正的
光だぁ,是光啊
ニコラス「holy shit！」,尼古拉斯「holy shit！」
ありがとうは魔法の言葉,谢谢是魔法的话语
兄のキラキラ,哥哥的闪闪发光
キラキラしている…,闪闪发光…
あずまきゅん...,东kyun...
凶器じゃん,是凶器啊
じゅんや乗り移ってて草,润也附体了草
三人ともタコピーに「ありがとう」って面と向かって伝えてくれるんだよな。ハッピーにしてもらったから,三个人都当面对小章鱼说了「谢谢」呢。因为被happy了
これもしかして電池切れ的な状態なだけじゃね,这个该不会只是类似电池没电的状态吧
血洗い落としたのか,把血洗掉了吗
キラキラー,闪闪发光—
証拠隠滅,毁灭证据
兄弟だな,是兄弟啊
人類は臆病で怠惰で利己的だから本当の意味での本音もそれを受け入れる器もまだ小さいんや,人类因为胆小、懒惰又自私，所以真正意义上的真心话和接受它的器量还很小
鈍器です,是钝器
まぶし,好耀眼
どいたま,怎么了
一番星を宿したな,寄宿了第一颗星呢
洗ってる...,在洗...
✨✨✨,✨✨✨
血がついてない,没有血了
凶器隠滅,隐灭凶器
罪をなすりつけようとしてます,在试图嫁祸于人
時系列忘れたけどカメラ直ってる？,忘了时间线了，照相机修好了？
うお！マジか！これで戻れるのか！まじか！,哦！真的吗！这样就能回去了吗！真的吗！
良いぞー,好啊—
まぁ殺人したやつやから言われて当然や,嘛毕竟是杀了人的家伙，被这么说也当然
凶器返却だいじょぶそ？,归还凶器没问题？
警察「え？」,警察「欸？」
警察「で、凶器は？」,警察「所以，凶器是？」
フーバーの言うItでなくYouで扱われると生物は輝くッピ,被当成胡佛说的You而不是It对待时，生物就会发光pi
ハッピー凶器,Happy凶器
それ勝手に持って来ていいのか？,那个可以随便拿来吗？
凶器だ,是凶器
押収されなかったのか,没被没收吗
血痕がなくなってる…,血迹不见了…
これ東くんが返り血拭き取ったのも効果あったのかなぁって,这个是不是东君擦掉了血迹也起了作用啊
凶器です,是凶器
戻ってるやん,恢复了嘛
どんどんどん～どん～き～鈍器～カメラ～,どんどんどん～どん～き～钝器～照相机～
検察に回収されないんか,不会被检察院回收吗
直した？,修好了？
おいおい証拠隠滅だよ　罪状追加だ,喂喂是毁灭证据哦，罪加一等
押し付けられたんだぞ,是被硬塞的哦
これ嬉しいじゃなくて悲しくて泣いてるだろ,这不是开心是伤心地哭了吧
※直ってる訳ではないです,※并不是修好了
証拠品…,证物…
血痕がなくなってる,血迹不见了
最強武器,最强武器
なんで押収されてないん,为什么没被没收
凶器として押収されてないのか,作为凶器没被没收吗
良い,好
今回の出来事で、間違いなくこの子は救えたかもしれない,因为这次的事，这个孩子可能确实得救了
なおそう,修好吧
凶器隠蔽,隐藏凶器
あれ？壊れたはずでは,欸？不是坏了吗
バカだから本心やば,因为是笨蛋所以是真心话，牙白
血が無い……だと,没有血了……だと
タコピー、お前が救った少年だ。誇れ,小章鱼，是你拯救的少年。骄傲吧
凶器を返却,归还凶器
直した？,修好了？
もしかして直った…？,难道说修好了…？
ドン、ドン、ドン、ドンキー,咚、咚、咚、咚奇
ありがとうって伝えたくて〜,想要对你说声谢谢～
おお！,哦哦！
