就是这张脸,この顔です
然后在这个op相遇,そしてこのopであえう
禽兽,けだもの
ano酱—,あのちゃーん
op的角色不会全都变成故人吧...？,opのキャラ全員が故人になったりしないよね...？
main heroine狗,メインヒロイン犬
这里的歌词孩子的心情好痛苦,ここの歌詞子供の思いつらい
悲报：原作漫画上下卷完结,悲報：原作漫画は上下巻で完結
opening是治愈,オープニングが癒し
←102死狗,←102デスイッヌ
这个绝对,これ絶対
章鱼噼的本名「鱼腥草」说很浓,タコピーの本名「どくだみ」説濃厚
虽然被ano酱的歌声骗了但歌词相当阴间,あのちゃんの歌声に騙されるけど歌詞は相当エグい
会对我笑吗？,笑ってくれるかな？
狗狗…,イッヌ…
丹尼…,ダニー…
歌词啊…,歌詞がな…
明快的曲子也掩盖不了的guro,明るい曲で誤魔化せないグロさ
因为小啾变成了Cha(t G)P(T)了…,チャッピーはチャ（ットG）P(T)になったから…
小啾已经不在了！,チャッピーはもういないじゃない！
bass line很好听呢（现实逃避）,ベースラインいいよね（現実逃避）
悬在空中…,ちゅうぶらりんて…
是heartful的作品吧,ハートフルな作品なんやろうなぁ
这部作品要是连载好几卷精神会撑不住的,この作品何巻も続けられたら精神が持たないって
小啾已经不在了,チャッピーはもういないじゃない
汪酱…,わんこ…
※已经无法用这个OP蒙混过去了。,※もうこのOPでごまかすことはできません。
呐，你为什么,ねぇ、なんでキミは
抑郁动画OP起码会搞得明快一点,鬱アニメはOPだけでも明るくしがち
a 自,ア自
茉莉奈已经不在了。,マリナはもういないじゃない。
DS好怀念好羡慕,DS懐かしい羨ましい
茉莉奈死了！已经不在了！！,まりなは死んだ！もういない！！
关系看起来很好真好啊〜,仲良さそうでいいなぁ〜
为什么你会死掉呢？,なんできみはしんじゃうの？
差不多该有特殊OP或ED了吧,そろそろ特殊OPかEDありそうやなぁ
好heartful啊,ハートフルだなぁ
小啾已经,もうチャッピーは
最近的动画很有趣,最近アニメが面白い
退场的角色是不是太多了・・・？,退場したキャラが多すぎないか・・・？
会死掉吗？（嘲讽）,死んじゃうの？（煽り）
狗狗、、,いっぬぅ、、
这个OP的第2段超好听哦,このOPの2番くそいいよ
会死的😊,死にます😊
狗是因为茉莉奈酱才死的吗？,まりなちゃんのせいで犬って死んだの？
茉莉奈酱之死,まりなちゃん死す
想起《星星公主》了啊,なるたる思い出すな
希望能做24季,24クールやって欲しい
乖乖待着的话会对我笑吗,いい子にしてたらわらってくれるかな
“会死掉吗？”的时候放茉莉奈酱的画面是那个意思吗…,死んじゃうの？でまりなちゃん映してたのってそういう…
汪汪…,わんわん…
是你杀了她啊…,お前が殺したんだよなあ…
因为你碰得太用力了吧,お前が強く触ったからだろ
takotakopiptakosipip-takotakopiptakopip-,たこたこぴっぴたこしぴっぴーたこたこぴっぴたこぴっぴー
※因为是被扑杀的,※撲殺したからです
因为魔法死掉的没办法吧？,魔法で死んじゃったんだからしょうがなくない？
（就用camera稍微打了下）为什么你会死掉呢？,（カメラでちょっと殴ったぐらいで）なんで君は死んじゃうの？
茉莉奈上集不是死了吗,まりなは前回死んだじゃない
尸体在说话,死体が喋ってる
是你杀了她啊！,お前が殺したんだよ！
感觉脑子要融化了的歌,脳みそ溶けそうな歌
是为什么呢(无语脸),なんでだろうねぇ(あきれ顔)
揍了人还能说出为什么你会死掉，章鱼噼果然强得像鬼,ぶったたいておいて何で君はしんじゃうのって言えるのやっぱタコピー鬼つええわ
为什么生气呢？,なんでおこっているの？
是为什么呢（翻白眼）,なんでだろうな（白目）
因为你碰得太用力了哦,きみが強く触ったからだよ
pancake看起来很好吃,パンケーキうまそう
是你的错哦,お前のせいだよ
奥拉，用力碰你哦,アウラ、強く触ってやる
因为章鱼用camera打出了critical啊姆,タコがカメラでクリティカル出して殴ったからだムー
OP的主要角色已经消失了一个人和一只了,もうすでにOPのメインキャラが一人と一匹消えてるんですけど
要是在Op出场就别杀啊,Opに出すなら殺さないでくれ
是你杀了她吧,お前が殺したんだろ
（妈妈，）为什么生气呢？,（ママ、）なんで怒ってるの？
「地球撑不住的时刻要来了！」,「地球が持たん時が来ているのだ！」
没有被脱掉的痕迹所以会变成是熊的错吗,脱がされた形跡ないから熊のせいになるのかな
第1段是静香酱，第2段是茉莉奈酱哦,1番がしずかちゃん、2番がまりなちゃんやで
为什么呢,なんでやろなぁ
超喜欢这首曲子,この曲めっちゃハマってる
↑我懂,↑わかる
但是，小学生可能不会有处理掉的想法吧。,でも、小学生で処分の発想出ないかもなぁ。
问为什么就是你啊,なんでってお前
臭！,臭！
太喜欢这里狂暴的茉莉奈了,ここの荒ぶるまりな好きすぎる
因为腐烂的是地球那边,腐ってるのは地球の方だから
从这里开始，if route二次创作,ここから先、ifルート二次創作
臭,臭
茉莉奈酱也差不多要腐烂了吧,まりなちゃんもそろそろ腐ってそう
那个(众所周知),あの(皆さんご存知)
要是是这么幸福的世界该多好啊,こんな幸せな世界ならどんなによかったか
那个（指示词）,あの（こそあど言葉）
哪个那个啊,あのってどのだよ
那 个(众所周知),あ　の(皆さんご存知)
开始腐烂的孩子,腐り始めた子
明明是可爱的OP啊,かわいいOPなんだけどなぁ
超喜欢副歌的狂暴转调,サビの荒ぶる転調大好き
我描绘的未来们一定在等待被实现,僕が描いた未来達はきっと叶えられるのを待っている
喜欢这里的变调,ここの変調すき
那个是那个那个！？,あのってあのあの！？
地球「不，腐烂的是黏在我身上的你们吧」,地球「いや腐っとるのはワイにへばりついとるお前らやろ」
因为腐烂的是地球那边所以走不好路,腐ってるのは地球の方だからうまく歩けない
要是这样就好了呢,これなら良かったんだけどね
ano酱好可爱,あのちゃんかわいい
腐烂的是大人,腐ってるのは大人
happy星没错，只是地球是个人渣星球而已,ハッピー星は悪くない、地球がクソヤローの星だっただけなんや
诶？那个！？,えっ？あの！？
已经回不去的日常,もう戻らない日常
真的腐烂的是地球那边啊…,マジで腐ってるのは地球のほうだな…
OP也没有特别在蒙混是真的草,OPも別に誤魔化してもないのがほんま草
腐烂的是同个声音的嬉野同学,腐ってるのは同じ声の嬉野さんや
不想只以希望结束 跨越这份软弱吧,希望だけでは終わらせたくないこの弱さを越えてゆこう
人类应该启程去宇宙了,人類は宇宙に旅立つべきだな
别放吉翁的propaganda OP了,ジオンのプロパガンダOPやめて
虽然被ano酱的声音和发音蒙混过去了但歌词还是挺贴合作品的。喜欢,あのちゃんの声と発音でごまかされてるけど結構作品まんまで歌ってるよな。好き
软糯软糯的茉莉奈好可爱,もちもちまりなかわいい
根性腐烂的是作者和大人,性根が腐ってるのは作者と大人
走不好路,うまく歩けない
不想只以希望结束 跨越这份软弱吧,希望だけでは終わらせたくないこの弱さを越えて行こう
尸体在说话,死体が喋ってる
腐烂的是茉莉奈酱的尸体那边哦,腐ってるのはまりなちゃんの死体の方だよ
开始腐烂的是茉莉奈酱的身体哦,腐り始めてるのまりなちゃんの体やぞ
神之转调,神の転調
茉莉奈、,まりな、
在不稳定的心中想继续燃烧永不熄灭的灯火,決して消えないトモシビを燃やし続けたい不安定な心に
腐烂的是地球人那边哦姆,腐ってるのは地球人のほうムーよ
茉莉奈已经不在了,まりなはもういないじゃない
能照亮未来的肯定只有自己,未来を明るく照らせるのはきっと自分でしかない
反正都要腐烂不如就酿了吧,どうせ腐るならせっかくだから醸そ
在黑暗中也找到我,暗闇でも見つけて
在地球喜欢BL的女性好像是腐女,地球ではBL好きの女性は腐ってるらしい
但是腐烂的是茉莉奈酱呢,でも腐るのはまりなちゃんだよね
茉莉奈酱之死,まりなちゃん死す
是苍蝇吗,ハエかよ
能照亮的肯定只有自己,照らせるのはきっと自分でしかない
这个要是在电视台播的话op会被剪掉吧,これ地上波だったらopカットされてたな
因为狐狸之类的野生动物会吃,きつねとかの野生動物が食うから
到此为止吧,この指止まれ
章鱼噼变成茉莉奈不就好了？,タコピーがまりなになればよくね？
这个已经无法实现了,これはもう叶わない
4年级这个设定很绝妙啊，4年级绝对还是孩子啊,4年生ってのが絶妙だよな、4年生は絶対的に子供なんだよ
因为茉莉奈酱死了，这个光景再也看不到了草,まりなちゃん死んだから、この光景二度と見れなくて草
因为op是正片正片是假的,opが本編で本編が嘘だから
不要停下来啊・・・・,止まるんじゃねぇぞ・・・・
全都是梦,すべて夢
可能存在过的世界,あったかもしれない世界
这对百合结果会怎么样啊…,この百合は結局どうなるんや…
说不定反过来…,逆だったかもしんねぇ…
这里章鱼噼的和好RTA,ここタコピーの仲直りRTA
已经无法实现了呢・・・,もう叶わないねぇ・・・
因为deep state的阴谋而迫降的救世主系奥特曼系章鱼型外星人,ディープステートの陰謀で不時着させられた救世主系ウルトラマン系タコ型宇宙人
已经回不去了呢！,もう戻れないねぇ！
百合厨,百合厨
后面的女生有潜质草,後ろの女子素質あって草
heartful story,ハートフルストーリー
一开始感觉是格格不入的超嗨happy song但现在听起来有点悲伤,最初は不一致なクソ浮かれハッピーソングって感じだったけどなんか物悲しく聞こえる
不存在的场面,存在しない場面
说不定反过来…,逆だったかもしんねぇ…
停下来的是茉莉奈酱的命啊…,止まったのはまりなちゃんの命なんだよなぁ…
不存在的route,存在しないルート
茉莉奈酱的手指已经永远停下来了啊…,もうまりなちゃんの指は永遠に止まったままなんだよなぁ
为什么没变成这样啊………,なんでこうならなかったんや………
是百合动画piko哟！,百合アニメだっピよ！
喜欢这里的歌词要哭了,ここの歌詞すき泣いちゃう
要是能对谁说出痛苦寂寞的话,苦しいとか寂しいとか誰かに言えたなら
继续这个OP有意义吗？,このOP続ける意味ある？
OP欺诈,OP詐欺
是真的想骗人啊,本当に騙そうとしてるんやな
在正片里已经不可能的光景,本編ではもう無理な光景
这里欺诈,ここ詐欺
欺诈,詐欺
确实两人都有在百合动画里配主角的声音⋯⋯,確かに二人とも百合アニメで主役やってる声してるけど⋯⋯
和好缎带真的有为了和好用过吗？,仲直りリボンって仲直りのために使われることあるんか？
只在OP展开的不存在的记忆,OPのみ展開される存在しない記憶
是这种heartful的动画吧,こういうハートフルなアニメなんやろなぁ
章鱼噼「我觉得女孩子和女孩子恋爱比较好piko！」,タコピー「女の子は女の子同士で恋愛するのがいいと思うっピ！」
虽然现在这样但最后是happy的…没问题没问题…,今はこうでも最後はハッピーやから…大丈夫大丈夫…
嘛看着吧?,まぁ見てろって?
但并没有变成那样，没有啊,でもそうはならなかった、ならなかったんだよ
说不定会变成这样,こうなったかもしれねぇ
要是能变成这样就好了啊,こんな風になりゃぁな
至今为止都是梦是heartful动画,今までのは夢でハートフルアニメだったんだ
茉莉×静 > 静×茉莉 ? "Happy" : "Happy",まり×しず > しず×まり ? "Happy" : "Happy"
已经无法实现的影像,もう叶わない映像
这个茉莉奈酱好可爱,このまりなちゃんかわいい
这里是原作封面,ここ原作表紙
这里的歌词是本质的message,ここの歌詞が本質的なメッセージ
是heartful(暴揍)的动画哦！,ハートフル(ﾎﾞｯｺ)なアニメですよ！
这种就叫百合piko呢！！,こういうのを百合って言うんだッピね！！
想守护这里的笑容,ここの笑顔まもりたい
要是变成这样就好了,こうなってたらな
为什么没有变成这样,どうしてこうならなかった
用鱼腥草在她睡着的时候做这个不就好了？,どくだみ使って寝てる間にこれすればよかったんじゃない？
啊啦～︎^,あら〜︎^
百合动画,百合アニメ
歌词已经,歌詞がもう
bad girl（真的坏的那方）,ばっどがーる（本当に悪い方）
为什么没有变成这样,どうしてこうならなかった
已经没有了啊,もうないんだよなぁ
好像不会有这个展开了…,この展開なさそうなんだが…
为什么不这么做啊章鱼噼,なぜこうしなかったんだタコピー
从这里开始有能进入百合route的保险吗！？,ここから百合ルートに入れる保険があるんですか！？
已经连和好都做不到了啊,もう仲直りすらできないんだよなあ
是百合动画吗？,百合アニメかな？
唯一的救赎,唯一の救い
章鱼噼在正片里这么做啊,タコピーは本編でそれをやれ
曲子是很好啦曲子,曲はいいんだよ曲は
百合…百合什么时候？,百合…百合はいつ？
的话～,なら～
已经没有了啊…,もうないんだよなぁ…
不是百合关系而是梦里吗,百合の仲じゃなくて夢の中だったか
这个场景什么时候能看到？,このシーンハイツになったら見られますか？
已经是无法实现的光景了好悲伤啊…,もう叶わない光景で悲しいなぁ…
※是印象图,※イメージです
已经没有这个展开了吧,もうこの展開ないだろ
变成那样了吧,そうなったやろがい
不就是个百合动画吗,ただの百合アニメじゃないか
sayonara,サヨナラ
连魔法都不需要哦,魔法だっていらないよ
章鱼噼视角太happy了吧,タコピー視点ハッピーすぎるだろ
还以为OP会换结果还是这样吗・・・诶诶・・・,OP変わるかと思ってたのにそのままなのか・・・えぇ・・・
并没有变成那样。并没有啊,そうはならなかった。そうはならなかったんだよ
嘛毕竟是BPO提交用影像…即便如此OP欺诈也太严重了,まぁBPO提出用映像だし…それにしてもOP詐欺も甚だしいが
没被告知内容的OP,内容知らされてないOP
不可能存在过的世界,ありえなかった世界
茉莉奈酱死了，还能和好吗‥？,まりなちゃん死んじゃったんですが、仲直りできますか‥？
好尊,尊い
但并没有变成那样 没有啊,でもそうはならなかった ならなかったんだよ
这就是「魔法」…吗…,これが「魔法」…かぁ…
要是能对谁说出痛苦寂寞的话 就不需要魔法了←就是这个啊,苦しいとか寂しいとか誰かに言えたなら　魔法なんて要らないよ←これなんだよな
连魔法都不需要哦（物理）,魔法だっていらないよ（物理）
感觉可以搞百合二次创作,百合二次創作できそう
章鱼噼的妄想,タコピーの妄想
但是，并没有变成那样哦rock,でも、そうはならなかったんだよロック
能和歌词共感,歌詞に共感できる
是百合动画吗,百合アニメかな
超不谨慎,超不謹慎
做这个啊,これをやってくれよ
温馨,ほのぼの
Hapiraki！,ハピラキ！
OP说到底只是章鱼噼的愿望吗,OPは結局のところタコピーの願望でしかなかったか
Happy Lucky Chappy,ハッピーラッキーチャッピー
人心,人の心
这里的静香酱好可爱⩌⩌,ここのしずかちゃんかわいい⩌⩌
这些家伙是什么,こいつらは何なんだ
Happy（camera）和小啾都去了呢……。Lucky什么时候会消失呢,ハッピー（カメラ）とチャッピーは逝ってしまったね……。ラッキーがいつ居なくなってしまうのか
为什么把小啾放进去？,なんでチャッピーを入れた？
请不要丢下我,どうか置いていかないで
跟着去死啊,後追えよ
第五条腿不能露出来,五本目の足は見せちゃダメ
不要丢下🐙,置いて🐙ないで
哦好和平啊,おっ平和だな
啊啦～・ω・,あら〜・ω・
百合…去哪儿了…,百合は…何処へ…
真的担心依赖孩子的母亲会采取什么行动,子供に依存してた母親がどういう行動するのかマジで心配
百合百合百合百合百合百合百合小池百合子,百合百合百合百合百合百合百合百合小池百合子
死掉了,ｼﾝｼﾞﾔｯﾀ
不要丢下我；；,置いていかないで；；
这歌词说的是我啊…,この歌詞私のことだ…
不要丢下小啾…,チャッピーおいていかないで…
不要丢下小啾…静香酱会追过去的…,チャッピーおいていかないで…しずかちゃんが追いかけちゃう…
土星狗好可爱哦,土星犬かわよ
是温馨日常动画吗？,ほのぼの日常アニメかな？
小啾・・・,チャッピー・・・
期待heartful百合动画,ハートフル百合アニメに期待
※难受的时候就来repeat这里的影像吧,※しんどい時はここの映像リピしましょうよ
takotakopiptakopip-takotakopiptakopip-,たこたこピッピたこぴっぴーたこたこぴっぴたこぴっぴー
是章鱼吧喂！,タコやろがい！
喜欢把OP这里解释成「章鱼噼重来了几百次才抓住的世界线」,OPのここは「タコピーが何百回もやり直して掴んだ世界線」っていう解釈が好き
咒术回战级别的骗人OP,呪術廻戦並みの嘘OP
看完结局再听这首歌会更难受哦,最後までみた後でこの歌聞いたらもっとしんどくなるぞ
小啾・・・,チャッピー・・・
←因为ED是和原作一样的（）,←EDは原作通りだったから（）
说了2遍！,2回も言った！
动画师还好吗？不是在用OP逃避现实吧？,アニメーターさん大丈夫？OPで現実逃避してない？
被丢下了呢,置いていかれちゃったねえ
茉莉奈酱会用什么方法复活吗？从OP来看,まりなちゃん何らかの方法で復活とかあるの？OP的に
笑容好耀眼 还回来,笑顔眩しい　戻して
求你别说两遍,二回も言わないでくれ頼む
大家都在笑哦,みんな笑顔だよ
温馨日常动画,ほのぼの日常アニメ
别　丢　下　我　去　死,お　い　て　逝　か　な　い　で
别看这边人渣,こっち見んなカス
是谁的话呢,誰の言葉なんだろう
温馨日常动画,ほのぼの日常アニメ
sūn！,すん！
小啾已经不在了不是吗,チャッピーはもういないじゃない
好棒的ОP啊…,良きОPだ…
被小啾丢下了,チャッピーに置いていかれてしまった
不要丢下小啾,チャッピー置いていかないで
第2段是茉莉奈视角的歌希望大家听full版,2番はまりな視点の歌になってるからフルで聴いてほしい
伪装成明快曲调的外衣逐渐剥落的名OP,明るい曲に偽装してたのが徐々にメッキが剥がれる名OP
结论是让大家都笑是不可能的game,結論はみんな笑顔にするのはムリゲー
这个route不存在吗,このルートは存在しないのか
第3话 床单的白是心灵的白,第3話　シーツの白さは心の白さ
章鱼噼的…告…告…告解！,タコピーの…こく…こ…告解！
呀啊啊啊啊啊啊是正太啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,ｷｲｲｲｲｴｴｴｴｴｴｼｮﾀｼﾞｬｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱ
做了个好梦吗,いい夢みられたかい
宝可梦的小胜,ポケモンのマサト
歌词是挺恐怖的歌,歌詞は結構怖い歌
张口结舌！（※原作宣传语）,お口がぽかん！（※原作煽り文）
东同学快逃啊啊啊啊啊,あずまくん逃げてええええええ
东同学快逃，赶紧逃！,東くん逃げて、超逃げて！
章鱼噼的国会,タコピーの国会
东同学诞生！,東くん誕生ッ！
东君当stalker结果撞见杀人现场之卷,東君ストーカーしてて殺人現場に出くわすの巻
这就是皆杀篇吗・・・,これが皆殺し編ですか・・・
张口结舌！,お口がポカン！
别给大特写了,ドアップやめろ
东同学快逃，赶紧逃！,東くん逃げて、超逃げて！
不行(？),無理(？)
东同学你看到了吗？呐？看到了吗？,あずまくん見ました？ねえ？見ました？
要是没有东同学就是happy end了,あずまくんがいなければハピエンだったのに
pusupusu难民请回Inhumans去,ぷすぷす難民はインヒューマンズに帰ってもろて
寒蝉,ひぐらし
事前预告里有关系很好的场景,事前予告には仲良くしてるシーンあった
马上就暴露的家伙,そっこーバレるやつ
真是个，讨厌的事件呢…,いやな、事件だったね…
这是……,これは……
说了不要丢下我,置いていかないでって
张口结舌！,お口がポカン！
在哼歌…,鼻歌歌ってる…
果然动画能看清细节真好,やっぱアニメだと細かいとこわかっていいね
看到了吧？,見たね？
寒蝉,ひぐらし
罗斯威尔事件,ロズウェル事件
和鱼腥草牵着手！？,ドクダミと手繋いでる！？
真是讨厌的事件呢,嫌な事件だったね
就在这里把所有反抗的家伙都杀光哦,ここなまま逆らうヤツら全員皆殺しやで
是赎罪篇吗？,罪滅ぼし編かな？
哼歌好可爱♡,鼻歌可愛い♡
东同学登录了梅比乌斯之环,東くんがメビウスの輪にログインしてしまいました
你，看到了什么,お前、何を見た
呀,や
只能，再杀一个人了哦・・・,もう1人、殺すしかなくなっちゃったよ・・・
好 干掉他,よし消せ
东快逃,東逃げろ
干掉吗…,消すか…
你知道得太多了,お前は知りすぎた
目击者要灭口,目撃者は消せ
祟杀篇,祟殺し編
被发现了,見つかった
周围的叶子是隐喻,周りの葉っぱは隠喩
别过来,くんな
是horror吗？,ホラーかな？
暴露了,バレる
嘶——,ｽｯーー
这可不行,これはいけない
东同学来啦——(ﾟ∀ﾟ)——!!,東くんｷﾀ――(ﾟ∀ﾟ)――!!
（是目击者吗…得灭口）,（目撃者か…消さないと）
要上第2个吗？,2人目いっとく？
这个不行啊,これはあかんぞ
名为stalking的lifework,ストーキングという名のライフワーク
心肺已经停了哦,心肺は止まってるよ
已经没什么好怕的了…,もう何もこわくない…
什么？（困惑）,何？（困惑）
这家伙也只能干掉了,こいつもやるしかない
快逃啊啊啊啊啊啊啊啊啊啊,逃げろおおおおおおおおおおおおおおおおお
那个...,その...
什么？,何？
那是什么…什么？,何その…なに？
stalker东同学,ストーカー東くん
目击者必须灭口,目撃者は消さないと
灭口,消せ
什么？（惊愕）,何？（驚愕）
(・ε・),(・ε・)
好恶心啊啊啊啊啊！,気持ちわるッッッッッ！
东同学快点全修啊……,東くん全修してくれ……
这是什么・・・什么?,何この・・・何?
什么？那个…什么？,何？その…何？
什么！？,何！？
什么・・・那个・・・什么！？,何・・・その・・・何！？
什么･･･那个･･･什么？！,何･･･その･･･何？！
好恶心,気持ち悪
好恶心（好恶心）,気持ち悪い（気持ち悪い）
因为没有认知妨碍,認識阻害してないから
说起来鱼腥草不见了啊,そういやドクダミどっかいっとるやん
（好恶心...）,（気持ち悪い...）
把花发夹插上啊,お花ピンさしとけ
哇啊啊,ｳﾜｧｧ
正是如此。,そのとおり。
这家伙也灭口吗,こいつも消すか
什么，那个…什么！？,何、その…何！？
被识别到了吗,認識されたか
啊—，暴露了呢,あー、バレちゃったねぇ
很可爱吧！！！,かわいいやろがい！！！
这是什么…什么…？,何この…何…？
说起来没有做认知妨碍啊,そういや認識阻害してないな
这　是　什　么,な　　　に　　　こ　　　れ
杀、了、他,こ、ろせ
章鱼噼很恶心吗,タコピーはキモかったのか
汝，能看见吗…,貴様、見えているのか…
看得见？,見えるの？
对强得像鬼的章鱼噼先生说什么呢,鬼つええタコピーさんに何てことを
现在不是鱼腥草吗,今はドクダミじゃないのか
别说那种话,そんなん言うたんな
你没变成鱼腥草吗w,ドクダミ化してねーのかよお前w
（直球）,（直球）
OP明明那么闪闪发光・・・,めっちゃOPキラキラなのに・・・
完蛋了w,オワタなw
很可爱吧！,かわいいやろがい！
什么？wwww,何？ｗｗｗｗ
第一印象：好恶心,第一印象：気持ち悪い
确实会变成“什么！？”这样呢w,確かに何！？ってなるわなｗ
提供,提供
很恶心呢,キモいよね
被看到了吗，必须灭口目击者（　＾ω＾）,見られたか、目撃者消さないと（　＾ω＾）
只是用道具隐身了而已,道具で姿を消してただけ
你瞬间好像碰了丁丁、、、,お前一瞬おティンを触ったような、、、
「这家伙为什么知道我的名字…」,「何でこいつ名前知ってるんだ…」
一直以为是看不见的设定...,ずっと見えてない設定だと思ってた...
原来如此，因为头上没戴花,そうか、頭に花を付けてないから
什么的什么的什么！？,何の何の何！？
哈！？,ﾌｧｯ！？
呀啊啊啊啊啊啊啊啊说啊啊啊啊话啊啊啊啊啊了啊啊啊啊啊啊啊啊!!!!!!!!!!!!!!!!!!,ｷｪｪｪｪｪｪｪｪｱｧｧｧｧｧｧｧｧｼｬｧﾍﾞｯﾀｧｧｧｧｧｧｧｧ!!!!!!!!!!!!!!!!!!
总之章鱼噼不是静香酱的妄想放心了(状况让人不放心),とりあえずタコピーがしずかちゃんの妄想じゃなくて安心(状況は安心できない)
东同学！（看到了吧？）,東くん！（見たね？）
↓真的耶↓,↓ほんまやん↓
实际上是看不出吉祥物风格的吗,実際はゆるキャラ風に見えないのかな
呀啊啊啊！！说话了啊啊啊！！！（因为是happy星人所以是happy set）,ベヤァァァ！！しゃべったぁぁぁ！！！（ハッピー星人だけにハッピーセット）
寒蝉别哭！,ひぐらし泣かないで！
好恶心,きもちわるい
说话了啊啊啊啊,ｼｬﾍﾞｯﾀｧｧｧｧｧ
东君///,東キュン///
说话了,ｼｬﾍﾞｯﾀ
呀啊啊啊啊啊啊说啊啊啊话啊啊啊了啊啊啊啊啊,ｷｪｪｪｪｪｪｱｧｧｧｧｧｧｼｬｧﾍﾞｯﾀｧｧｧｧｧｧｧ
灭口灭口灭口,けせけせけせ
牙白,やべ
什么，那个…什么？,何、その…何？
说话了啊啊啊啊啊啊啊啊啊啊啊！,ｼｬﾍﾞｯﾀｧｧｧｧｧｱｱｱｱｱｱｱｱｱｱ！
吓退的东同学,ドン引き東くん
看得见吗,見えるんか
变得能看见了？,見えるようになった？
说话了啊啊啊啊啊啊啊啊,ｼｬﾍﾞｯﾀｱｱｱｱｱｱｱｱｱｱｱｧ
说啊啊话啊啊了啊啊,ｼｬｧﾍﾞｯﾀｧｧｧｧｧｧｧ
说话了啊啊啊啊啊啊啊啊!!,ｼｬﾍﾞｯﾀｱｱｱｱｱｱｱｱｱ!!
说话了啊啊啊,ｼｬﾍﾞｯﾀｱｱｱ
因为没插花发夹所以没看成鱼腥草啊,お花ピン刺してないからドクダミに見えてないんだな
恶心,キモい
啊啊啊啊说话了啊啊啊啊,ｱｧｧｧｧｧｼｬﾍﾞｯﾀﾞｧｧｧｧｧ
汝看得见吗？,貴様みえるのか？
呀啊啊啊啊啊啊说啊啊啊话啊啊啊了啊啊啊啊啊!!!,ｷｪｪｪｪｪｪｱｧｧｧｧｧｧｼｬｧﾍﾞｯﾀｧｧｧｧｧｧｧ!!!
既然看到了这个样子就不能让你活下去了,この姿を見てしまったからには生かしておく訳にはいかないな
看得见吗,みえてるのか
章鱼噼至今为止不是其他孩子都看不见的吗？,タコピーって今まで他の子らに見えてなかったんじゃなかったの？
被说恶心了ww,気持ち悪い言われとるww
茉莉奈杀人事件 2025年7月12日,真理奈殺人事件　2025年7月12日
这下搞不懂了,これもうわかんねえな
说话了啊啊啊啊啊啊啊,ｼｬﾍﾞｯﾀｱｱｱｱｱｱｱｱｱ
因为没用那个道具所以是能被普通看见的状态,例の道具を使ってないから普通に視認できる状態になってる
咦没有“说话了啊啊啊”,あれｼｬﾍﾞｯﾀｱｱｱがない
说话了,喋った
迫真的寒蝉哥,迫真のひぐらしニキ
这章鱼杀人咯,このタコ人コロしてますよ
因为戴了花发夹所以周围的人看起来是鱼腥草哦,お花ピンを付けてたから周りからはドクダミに見えてたよ
噔噔咚！（绝望）,デデドン！（絶望）
看——到——了——吧——,みーーたーーなーー
说话了,しゃべった
好恶心w,気持ち悪いｗ
啊—啊，看到了呢。,あーあ、見ちゃったね。
寒蝉鸣泣之时 殴章篇,ひぐらしのなく頃に　蛸殴り編
为森莫在看！！,ﾅｽﾞｪﾐﾃﾙﾝﾃﾞｨｽ！！
你知道得太多了…,君は知り過ぎた…
敷岛鸣泣之时,敷島のなく頃に
敷岛鸣泣之时,敷島のなく頃に
因为没变成叶子･･･,葉っぱに変えないから･･･
啊—，看到了吗,あー、見ちゃったか
被发现了,みつかっちった
啊哇哇哇哇哇,あわわわわわ
看到了茉莉奈变成希望之花了,まりなが希望の花してるの見えちゃった
说话了啊啊啊啊啊啊啊,ｼｬﾍﾞｯﾀｱｱｱｱｱｱｱｱｱ
不要啊啊！,いやああ！
章鱼噼！干掉他！,タコピー！やっちまえ！
被看到了・・。,見られちまった・・。
Woody,ウッディ
人生结束的通知,人生終了のお知らせ
啊（察觉）,あっ（察し）
看—到—了—吧,みーたーなー
啊ww,あｗｗ
啊、,あっ、
太可怕了,怖すぎ
软绵绵异形生物和同学的尸体，哪个更掉san值？,ゆるふわ異形生物とクラスメイトの死体、正気度が下がるのはどっち？
啊w,あｗ
啊（察觉）,あっ（察し）
看到了吧？,見たね？
啊 暴露了,あ　バレてる
超速理解,超速理解
看到了吗,見ちゃったか
知道得太多了呢,知り過ぎちゃったねぇ
灭口灭口灭口,消せ消せ消せ
糟了,まっずい
东同学也要毕业了吗？,東くんも卒業しちゃうのカナ？
啊,ｱｯ
你已经回不去了吧？,お前もう生きて帰れねぇな？
怎么会这样 已经逃不掉了,なんてことだ　もう逃げられないぞ
了不得的动画w,とんでもねぇアニメだw
看～～～～到～～～～～了～～～～～～～吧～～～～～～～～,見ぃ～～～～たぁ～～～～～なぁ～～～～～～～～
这里是寒蝉鸣泣之时,ここひぐらしのなく頃に
只能杀了呢,殺すしかないね
你知道得太多了,お前は知りすぎた
看到了呢…,見ちゃったねぇ…
我的名字是吉良吉影...,私の名前は吉良吉影...
寒蝉正当食,ひぐらしが食べ頃に
说话了啊啊啊,しゃべったあああ
看到了哦♥,見ちゃったね♥
好了死局了,はい詰んだ
（还能用）,（まだ使える）
云母坂茉莉奈同学 卒,雲母坂まりなちゃん　卒
！！,！！
